Time, CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:05:56.949, true,
2018-08-24 14:05:57.049, true,
2018-08-24 14:05:57.148, true,
2018-08-24 14:05:57.248, true,
2018-08-24 14:05:57.348, true,
2018-08-24 14:05:57.447, true,
2018-08-24 14:05:57.547, true,
2018-08-24 14:05:57.646, true,
2018-08-24 14:05:57.746, true,
2018-08-24 14:05:57.845, true,
2018-08-24 14:05:57.945, true,
2018-08-24 14:05:58.045, true,
2018-08-24 14:05:58.144, true,
2018-08-24 14:05:58.244, true,
2018-08-24 14:05:58.343, true,
2018-08-24 14:05:58.443, true,
2018-08-24 14:05:58.542, true,
2018-08-24 14:05:58.642, true,
2018-08-24 14:05:58.741, true,
2018-08-24 14:05:58.840, true,
2018-08-24 14:05:58.940, true,
2018-08-24 14:05:59.039, true,
2018-08-24 14:05:59.138, true,
2018-08-24 14:05:59.238, true,
2018-08-24 14:05:59.337, true,
2018-08-24 14:05:59.437, true,
2018-08-24 14:05:59.536, true,
2018-08-24 14:05:59.635, true,
2018-08-24 14:05:59.735, true,
2018-08-24 14:05:59.834, true,
2018-08-24 14:05:59.934, true,
2018-08-24 14:06:00.033, true,
2018-08-24 14:06:00.132, true,
2018-08-24 14:06:00.232, true,
2018-08-24 14:06:00.331, true,
2018-08-24 14:06:00.431, true,
2018-08-24 14:06:00.530, true,
2018-08-24 14:06:00.629, true,
2018-08-24 14:06:00.729, true,
2018-08-24 14:06:00.828, true,
2018-08-24 14:06:00.927, true,
2018-08-24 14:06:01.027, true,
2018-08-24 14:06:01.126, true,
2018-08-24 14:06:01.225, true,
2018-08-24 14:06:01.324, true,
2018-08-24 14:06:01.423, true,
2018-08-24 14:06:01.523, true,
2018-08-24 14:06:01.622, true,
2018-08-24 14:06:01.722, true,
2018-08-24 14:06:01.821, true,
2018-08-24 14:06:01.920, true,
2018-08-24 14:06:02.019, true,
2018-08-24 14:06:02.118, true,
2018-08-24 14:06:02.217, true,
2018-08-24 14:06:02.316, true,
2018-08-24 14:06:02.416, true,
2018-08-24 14:06:02.515, true,
2018-08-24 14:06:02.615, true,
2018-08-24 14:06:02.714, true,
2018-08-24 14:06:02.814, true,
2018-08-24 14:06:02.913, true,
2018-08-24 14:06:03.013, true,
2018-08-24 14:06:03.112, true,
2018-08-24 14:06:03.211, true,
2018-08-24 14:06:03.311, true,
2018-08-24 14:06:03.410, true,
2018-08-24 14:06:03.509, true,
2018-08-24 14:06:03.608, true,
2018-08-24 14:06:03.708, true,
2018-08-24 14:06:03.807, true,
2018-08-24 14:06:03.906, true,
2018-08-24 14:06:04.006, true,
2018-08-24 14:06:04.105, true,
2018-08-24 14:06:04.204, true,
2018-08-24 14:06:04.303, true,
2018-08-24 14:06:04.403, true,
2018-08-24 14:06:04.502, true,
2018-08-24 14:06:04.601, true,
2018-08-24 14:06:04.701, true,
2018-08-24 14:06:04.800, true,
2018-08-24 14:06:04.900, true,
2018-08-24 14:06:04.999, true,
2018-08-24 14:06:05.099, true,
2018-08-24 14:06:05.198, true,
2018-08-24 14:06:05.297, true,
2018-08-24 14:06:05.396, true,
2018-08-24 14:06:05.495, true,
2018-08-24 14:06:05.597, true,
2018-08-24 14:06:05.697, true,
2018-08-24 14:06:05.796, true,
2018-08-24 14:06:05.895, true,
2018-08-24 14:06:05.994, true,
2018-08-24 14:06:06.093, true,
2018-08-24 14:06:06.193, true,
2018-08-24 14:06:06.292, true,
2018-08-24 14:06:06.391, true,
2018-08-24 14:06:06.490, true,
2018-08-24 14:06:06.589, true,
2018-08-24 14:06:06.689, true,
2018-08-24 14:06:06.788, true,
2018-08-24 14:06:06.887, true,
2018-08-24 14:06:06.986, true,
2018-08-24 14:06:07.085, true,
2018-08-24 14:06:07.185, true,
2018-08-24 14:06:07.284, true,
2018-08-24 14:06:07.383, true,
2018-08-24 14:06:07.482, true,
2018-08-24 14:06:07.582, true,
2018-08-24 14:06:07.681, true,
2018-08-24 14:06:07.780, true,
2018-08-24 14:06:07.879, true,
2018-08-24 14:06:07.979, true,
2018-08-24 14:06:08.078, true,
2018-08-24 14:06:08.177, true,
2018-08-24 14:06:08.276, true,
2018-08-24 14:06:08.375, true,
2018-08-24 14:06:08.475, true,
2018-08-24 14:06:08.574, true,
2018-08-24 14:06:08.673, true,
2018-08-24 14:06:08.772, true,
2018-08-24 14:06:08.872, true,
2018-08-24 14:06:08.971, true,
2018-08-24 14:06:09.070, true,
2018-08-24 14:06:09.170, true,
2018-08-24 14:06:09.269, true,
2018-08-24 14:06:09.368, true,
2018-08-24 14:06:09.468, true,
2018-08-24 14:06:09.567, true,
2018-08-24 14:06:09.666, true,
2018-08-24 14:06:09.765, true,
2018-08-24 14:06:09.864, true,
2018-08-24 14:06:09.964, false,
2018-08-24 14:06:10.063, false,
2018-08-24 14:06:10.162, false,
2018-08-24 14:06:10.261, false,
2018-08-24 14:06:10.361, false,
2018-08-24 14:06:10.460, false,
2018-08-24 14:06:10.559, false,
2018-08-24 14:06:10.658, false,
2018-08-24 14:06:10.757, false,
2018-08-24 14:06:10.856, false,
2018-08-24 14:06:10.955, false,
2018-08-24 14:06:11.054, false,
2018-08-24 14:06:11.153, false,
2018-08-24 14:06:11.253, false,
2018-08-24 14:06:11.352, false,
2018-08-24 14:06:11.451, false,
2018-08-24 14:06:11.550, false,
2018-08-24 14:06:11.649, false,
2018-08-24 14:06:11.748, false,
2018-08-24 14:06:11.847, false,
2018-08-24 14:06:11.946, false,
2018-08-24 14:06:12.045, false,
2018-08-24 14:06:12.145, false,
2018-08-24 14:06:12.244, false,
2018-08-24 14:06:12.343, false,
2018-08-24 14:06:12.442, false,
2018-08-24 14:06:12.541, false,
2018-08-24 14:06:12.640, false,
2018-08-24 14:06:12.739, false,
2018-08-24 14:06:12.839, false,
2018-08-24 14:06:12.938, false,
2018-08-24 14:06:13.037, false,
2018-08-24 14:06:13.136, false,
2018-08-24 14:06:13.235, false,
2018-08-24 14:06:13.334, false,
2018-08-24 14:06:13.433, false,
2018-08-24 14:06:13.532, false,
2018-08-24 14:06:13.632, false,
2018-08-24 14:06:13.731, false,
2018-08-24 14:06:13.830, false,
2018-08-24 14:06:13.929, false,
2018-08-24 14:06:14.028, false,
2018-08-24 14:06:14.127, false,
2018-08-24 14:06:14.226, false,
2018-08-24 14:06:14.325, false,
2018-08-24 14:06:14.425, false,
2018-08-24 14:06:14.524, false,
2018-08-24 14:06:14.623, false,
2018-08-24 14:06:14.722, false,
2018-08-24 14:06:14.822, false,
2018-08-24 14:06:14.921, false,
2018-08-24 14:06:15.020, false,
2018-08-24 14:06:15.120, false,
2018-08-24 14:06:15.219, false,
2018-08-24 14:06:15.318, false,
2018-08-24 14:06:15.417, false,
2018-08-24 14:06:15.517, false,
2018-08-24 14:06:15.616, false,
2018-08-24 14:06:15.716, false,
2018-08-24 14:06:15.815, false,
2018-08-24 14:06:15.914, false,
2018-08-24 14:06:16.013, false,
2018-08-24 14:06:16.113, false,
2018-08-24 14:06:16.212, false,
2018-08-24 14:06:16.311, false,
2018-08-24 14:06:16.410, false,
2018-08-24 14:06:16.510, false,
2018-08-24 14:06:16.609, false,
2018-08-24 14:06:16.708, false,
2018-08-24 14:06:16.807, false,
2018-08-24 14:06:16.907, false,
2018-08-24 14:06:17.006, false,
2018-08-24 14:06:17.105, true,
2018-08-24 14:06:17.205, true,
2018-08-24 14:06:17.304, true,
2018-08-24 14:06:17.403, true,
2018-08-24 14:06:17.502, true,
2018-08-24 14:06:17.601, true,
2018-08-24 14:06:17.700, true,
2018-08-24 14:06:17.799, true,
2018-08-24 14:06:17.898, true,
2018-08-24 14:06:17.997, true,
2018-08-24 14:06:18.096, true,
2018-08-24 14:06:18.195, true,
2018-08-24 14:06:18.295, true,
2018-08-24 14:06:18.394, true,
2018-08-24 14:06:18.493, true,
2018-08-24 14:06:18.592, true,
2018-08-24 14:06:18.691, true,
2018-08-24 14:06:18.790, true,
2018-08-24 14:06:18.889, true,
2018-08-24 14:06:18.989, true,
2018-08-24 14:06:19.088, true,
2018-08-24 14:06:19.187, true,
2018-08-24 14:06:19.286, true,
2018-08-24 14:06:19.385, true,
2018-08-24 14:06:19.484, true,
2018-08-24 14:06:19.583, true,
2018-08-24 14:06:19.682, true,
2018-08-24 14:06:19.782, true,
2018-08-24 14:06:19.881, true,
2018-08-24 14:06:19.980, true,
2018-08-24 14:06:20.079, true,
2018-08-24 14:06:20.178, true,
2018-08-24 14:06:20.278, true,
2018-08-24 14:06:20.377, true,
2018-08-24 14:06:20.476, true,
2018-08-24 14:06:20.575, true,
2018-08-24 14:06:20.674, true,
2018-08-24 14:06:20.773, true,
2018-08-24 14:06:20.872, true,
2018-08-24 14:06:20.971, true,
2018-08-24 14:06:21.070, true,
2018-08-24 14:06:21.169, true,
2018-08-24 14:06:21.268, true,
2018-08-24 14:06:21.368, true,
2018-08-24 14:06:21.467, true,
2018-08-24 14:06:21.566, true,
2018-08-24 14:06:21.665, true,
2018-08-24 14:06:21.764, true,
2018-08-24 14:06:21.863, true,
2018-08-24 14:06:21.962, true,
2018-08-24 14:06:22.061, true,
2018-08-24 14:06:22.161, true,
2018-08-24 14:06:22.260, true,
2018-08-24 14:06:22.359, true,
2018-08-24 14:06:22.458, true,
2018-08-24 14:06:22.557, true,
2018-08-24 14:06:22.656, true,
2018-08-24 14:06:22.755, true,
2018-08-24 14:06:22.855, true,
2018-08-24 14:06:22.954, true,
2018-08-24 14:06:23.053, true,
2018-08-24 14:06:23.152, true,
2018-08-24 14:06:23.251, true,
2018-08-24 14:06:23.350, true,
2018-08-24 14:06:23.449, true,
2018-08-24 14:06:23.548, true,
2018-08-24 14:06:23.648, true,
2018-08-24 14:06:23.747, true,
2018-08-24 14:06:23.846, true,
2018-08-24 14:06:23.945, true,
2018-08-24 14:06:24.044, true,
2018-08-24 14:06:24.143, true,
2018-08-24 14:06:24.242, true,
2018-08-24 14:06:24.342, true,
