Time, CONVEYOR2_PROXIMITY_SENSOR2,CONVEYOR1_PROXIMITY_SENSOR,
2018-08-24 14:06:12.541, false,false,
2018-08-24 14:06:12.640, false,false,
2018-08-24 14:06:12.739, false,false,
2018-08-24 14:06:12.839, false,false,
2018-08-24 14:06:12.938, false,false,
2018-08-24 14:06:13.037, false,false,
2018-08-24 14:06:13.136, false,false,
2018-08-24 14:06:13.235, false,false,
2018-08-24 14:06:13.334, false,false,
2018-08-24 14:06:13.433, false,false,
2018-08-24 14:06:13.532, false,false,
2018-08-24 14:06:13.632, false,false,
2018-08-24 14:06:13.731, false,false,
2018-08-24 14:06:13.830, false,false,
2018-08-24 14:06:13.929, false,false,
2018-08-24 14:06:14.028, false,false,
2018-08-24 14:06:14.127, false,false,
2018-08-24 14:06:14.226, false,false,
2018-08-24 14:06:14.326, false,false,
2018-08-24 14:06:14.425, false,false,
2018-08-24 14:06:14.524, false,false,
2018-08-24 14:06:14.623, false,false,
2018-08-24 14:06:14.722, false,false,
2018-08-24 14:06:14.822, false,false,
2018-08-24 14:06:14.921, false,false,
2018-08-24 14:06:15.020, false,false,
2018-08-24 14:06:15.120, false,false,
2018-08-24 14:06:15.219, false,false,
2018-08-24 14:06:15.318, false,false,
2018-08-24 14:06:15.418, false,false,
2018-08-24 14:06:15.517, false,false,
2018-08-24 14:06:15.616, false,false,
2018-08-24 14:06:15.716, false,false,
2018-08-24 14:06:15.815, false,false,
2018-08-24 14:06:15.914, false,false,
2018-08-24 14:06:16.013, false,false,
2018-08-24 14:06:16.113, false,false,
2018-08-24 14:06:16.212, false,false,
2018-08-24 14:06:16.311, false,false,
2018-08-24 14:06:16.410, false,false,
2018-08-24 14:06:16.510, false,false,
2018-08-24 14:06:16.609, false,false,
2018-08-24 14:06:16.708, false,false,
2018-08-24 14:06:16.807, false,false,
2018-08-24 14:06:16.907, false,false,
2018-08-24 14:06:17.006, false,false,
2018-08-24 14:06:17.105, false,false,
2018-08-24 14:06:17.204, false,false,
2018-08-24 14:06:17.303, false,false,
2018-08-24 14:06:17.402, false,false,
2018-08-24 14:06:17.502, false,false,
2018-08-24 14:06:17.601, false,false,
2018-08-24 14:06:17.700, false,false,
2018-08-24 14:06:17.799, false,false,
2018-08-24 14:06:17.898, false,false,
2018-08-24 14:06:17.997, false,false,
2018-08-24 14:06:18.096, false,false,
2018-08-24 14:06:18.196, false,false,
2018-08-24 14:06:18.295, false,false,
2018-08-24 14:06:18.394, false,false,
2018-08-24 14:06:18.493, false,false,
2018-08-24 14:06:18.592, false,false,
2018-08-24 14:06:18.691, false,false,
2018-08-24 14:06:18.790, false,false,
2018-08-24 14:06:18.889, false,false,
2018-08-24 14:06:18.989, false,false,
2018-08-24 14:06:19.088, false,false,
2018-08-24 14:06:19.187, false,false,
2018-08-24 14:06:19.286, false,false,
2018-08-24 14:06:19.385, false,false,
2018-08-24 14:06:19.484, false,false,
2018-08-24 14:06:19.583, false,false,
2018-08-24 14:06:19.682, false,false,
2018-08-24 14:06:19.782, false,false,
2018-08-24 14:06:19.881, false,false,
2018-08-24 14:06:19.980, false,false,
2018-08-24 14:06:20.079, false,false,
2018-08-24 14:06:20.178, false,false,
2018-08-24 14:06:20.277, false,false,
2018-08-24 14:06:20.376, false,false,
2018-08-24 14:06:20.475, false,false,
2018-08-24 14:06:20.575, false,false,
2018-08-24 14:06:20.674, false,false,
2018-08-24 14:06:20.773, false,false,
2018-08-24 14:06:20.872, false,false,
2018-08-24 14:06:20.971, false,false,
2018-08-24 14:06:21.070, false,false,
2018-08-24 14:06:21.169, false,false,
2018-08-24 14:06:21.269, false,false,
2018-08-24 14:06:21.368, false,false,
2018-08-24 14:06:21.467, false,false,
2018-08-24 14:06:21.566, false,false,
2018-08-24 14:06:21.665, false,false,
2018-08-24 14:06:21.764, false,false,
2018-08-24 14:06:21.863, false,false,
2018-08-24 14:06:21.962, false,false,
2018-08-24 14:06:22.061, false,false,
